"useid","roomid","devicename","deviceid","dataid","data1","technology","starttime","endtime","roomid-2","locationid","name","type","floor","capacity","priority","processoraddress","maintenance_mode","status","createdat","lastmodifiedat","duration"
"50239","juvysfrf_1105","Receiver","DM-RMC-4K-SCALER-C_01","Sync_State","Connected","Presentation","2019-08-08 14:03:19.697+00","2019-08-08 14:33:23.76+00","juvysfrf_1105","Aviva_juvysfrf","Meeting Room","P3W","11th_floor","3-6",2,"00107FA554D2",NULL,"online","2019-04-12 22:05:43.494+00","2019-04-12 22:05:43.494+00","00:30:04.063"
"48599","juvysfrf_1105","Receiver","DM-RMC-4K-SCALER-C_01","Sync_State","Connected","Presentation","2019-08-06 18:39:05.146+00","2019-08-06 18:54:06.766+00","juvysfrf_1105","Aviva_juvysfrf","Meeting Room","P3W","11th_floor","3-6",2,"00107FA554D2",NULL,"online","2019-04-12 22:05:43.494+00","2019-04-12 22:05:43.494+00","00:15:01.62"
"55027","juvysfrf_1105","Receiver","DM-RMC-4K-SCALER-C_01","Sync_State","Connected","Presentation","2019-08-14 17:07:44.209+00","2019-08-14 18:02:49.705+00","juvysfrf_1105","Aviva_juvysfrf","Meeting Room","P3W","11th_floor","3-6",2,"00107FA554D2",NULL,"online","2019-04-12 22:05:43.494+00","2019-04-12 22:05:43.494+00","00:55:05.496"
"52153","juvysfrf_1105","Receiver","DM-RMC-4K-SCALER-C_01","Sync_State","Connected","Presentation","2019-08-12 14:02:43.939+00","2019-08-12 14:27:46.085+00","juvysfrf_1105","Aviva_juvysfrf","Meeting Room","P3W","11th_floor","3-6",2,"00107FA554D2",NULL,"online","2019-04-12 22:05:43.494+00","2019-04-12 22:05:43.494+00","00:25:02.146"
"53701","juvysfrf_1105","Receiver","DM-RMC-4K-SCALER-C_01","Sync_State","Connected","Presentation","2019-08-13 16:05:16.791+00","2019-08-13 17:00:22.256+00","juvysfrf_1105","Aviva_juvysfrf","Meeting Room","P3W","11th_floor","3-6",2,"00107FA554D2",NULL,"online","2019-04-12 22:05:43.494+00","2019-04-12 22:05:43.494+00","00:55:05.465"
"55814","juvysfrf_1105","Receiver","DM-RMC-4K-SCALER-C_01","Sync_State","Connected","Presentation","2019-08-15 13:04:40.525+00","2019-08-15 13:19:41.04+00","juvysfrf_1105","Aviva_juvysfrf","Meeting Room","P3W","11th_floor","3-6",2,"00107FA554D2",NULL,"online","2019-04-12 22:05:43.494+00","2019-04-12 22:05:43.494+00","00:15:00.515"
"53319","juvysfrf_1105","Receiver","DM-RMC-4K-SCALER-C_01","Sync_State","Connected","Presentation","2019-08-13 14:00:06.281+00","2019-08-13 14:35:07.844+00","juvysfrf_1105","Aviva_juvysfrf","Meeting Room","P3W","11th_floor","3-6",2,"00107FA554D2",NULL,"online","2019-04-12 22:05:43.494+00","2019-04-12 22:05:43.494+00","00:35:01.563"
"51448","juvysfrf_1105","Receiver","DM-RMC-4K-SCALER-C_01","Sync_State","Connected","Presentation","2019-08-09 15:05:48.647+00","2019-08-09 15:50:51.756+00","juvysfrf_1105","Aviva_juvysfrf","Meeting Room","P3W","11th_floor","3-6",2,"00107FA554D2",NULL,"online","2019-04-12 22:05:43.494+00","2019-04-12 22:05:43.494+00","00:45:03.109"
"52387","juvysfrf_1105","Receiver","DM-RMC-4K-SCALER-C_01","Sync_State","Connected","Presentation","2019-08-12 15:17:52.037+00","2019-08-12 15:57:56.211+00","juvysfrf_1105","Aviva_juvysfrf","Meeting Room","P3W","11th_floor","3-6",2,"00107FA554D2",NULL,"online","2019-04-12 22:05:43.494+00","2019-04-12 22:05:43.494+00","00:40:04.174"
"56859","juvysfrf_1105","Receiver","DM-RMC-4K-SCALER-C_01","Sync_State","Connected","Presentation","2019-08-15 19:05:16.995+00","2019-08-15 20:20:22.155+00","juvysfrf_1105","Aviva_juvysfrf","Meeting Room","P3W","11th_floor","3-6",2,"00107FA554D2",NULL,"online","2019-04-12 22:05:43.494+00","2019-04-12 22:05:43.494+00","01:15:05.16"
